ID_WP,Tahun,Sektor,Jml_Terlambat,Rata_Pembayaran,Frekuensi_Lapor,Jml_Tunggakan,Kepatuhan
WP111,2025,Manufaktur,1,58290092,11,0,0
WP112,2025,Perdagangan,1,48463927,10,0,0
WP113,2024,Perdagangan,6,14445633,7,2,1
WP114,2025,Properti,1,47767389,11,0,0
WP115,2024,Perdagangan,0,22813439,12,0,0
WP116,2025,Properti,1,40237783,12,0,0
WP117,2025,Properti,0,73370896,10,0,0
WP118,2025,Perdagangan,6,12526664,7,3,1
WP119,2024,Manufaktur,0,45751797,10,0,0
WP120,2025,Properti,3,8133116,1,1,1
WP121,2025,Perdagangan,1,59988765,12,0,0
WP122,2025,Perdagangan,0,34935479,12,0,0
WP123,2025,Manufaktur,1,51289503,12,0,0
WP124,2025,Properti,1,22144468,10,0,0
WP125,2025,Properti,1,90455174,12,0,0
WP126,2024,Manufaktur,1,74598240,12,0,0
WP127,2025,Manufaktur,0,81810620,12,0,0
WP128,2025,Manufaktur,5,11211635,6,3,1
WP129,2025,Jasa,6,5270186,2,1,1
WP130,2025,Jasa,1,51908977,10,0,0
WP131,2025,Jasa,1,70165990,10,0,0
WP132,2025,Perdagangan,4,12145547,3,4,1
WP133,2024,Jasa,1,38122128,10,0,0
WP134,2024,Properti,1,82342345,12,0,0
WP135,2025,Jasa,0,34182392,11,0,0
WP136,2024,Manufaktur,3,9628477,2,3,1
WP137,2024,Properti,0,80553670,11,0,0
WP138,2024,Properti,0,97504426,11,0,0
WP139,2025,Jasa,0,80314884,12,0,0
WP140,2025,Manufaktur,4,2300616,6,2,1
WP141,2025,Perdagangan,0,66076280,11,0,0
WP142,2025,Jasa,0,42947059,12,0,0
WP143,2025,Properti,1,96319641,11,0,0
WP144,2024,Jasa,1,75740930,11,0,0
WP145,2024,Manufaktur,0,21819611,11,0,0
WP146,2025,Perdagangan,0,24108623,12,0,0
WP147,2024,Properti,6,16596083,7,1,1
WP148,2025,Manufaktur,1,36585168,10,0,0
WP149,2024,Jasa,0,70123650,11,0,0
WP150,2024,Manufaktur,0,82357057,12,0,0
WP151,2025,Manufaktur,0,30367231,11,0,0
WP152,2024,Jasa,4,14644712,7,4,1
WP153,2025,Properti,1,24558646,11,0,0
WP154,2024,Properti,0,84211345,12,0,0
WP155,2025,Properti,0,41126870,10,0,0
WP156,2024,Properti,4,11740874,3,2,1
WP157,2025,Manufaktur,0,61772139,10,0,0
WP158,2025,Perdagangan,1,93257079,11,0,0
WP159,2024,Properti,1,71821137,11,0,0
WP160,2025,Manufaktur,1,22445040,12,0,0
WP161,2024,Jasa,0,25298287,12,0,0
WP162,2024,Manufaktur,0,36552615,10,0,0
WP163,2024,Perdagangan,0,23045201,10,0,0
WP164,2024,Properti,1,85840787,10,0,0
WP165,2025,Jasa,1,89039257,10,0,0
WP166,2024,Properti,1,85617301,10,0,0
WP167,2025,Properti,0,91967787,12,0,0
WP168,2025,Manufaktur,3,3689340,4,4,1
WP169,2025,Manufaktur,0,26736237,10,0,0
WP170,2024,Perdagangan,1,45288948,12,0,0
WP171,2024,Perdagangan,0,27614390,10,0,0
WP172,2024,Perdagangan,1,46456719,11,0,0
WP173,2025,Perdagangan,1,85106931,10,0,0
WP174,2025,Jasa,1,23653669,12,0,0
WP175,2025,Properti,0,68460213,10,0,0
WP176,2025,Perdagangan,1,53688867,10,0,0
WP177,2025,Properti,0,16536596,10,0,0
WP178,2025,Manufaktur,6,12059445,6,4,1
WP179,2025,Properti,0,17077838,12,0,0
WP180,2025,Manufaktur,0,72029175,11,0,0
WP181,2024,Jasa,1,33621736,12,0,0
WP182,2024,Properti,0,40050300,12,0,0
WP183,2024,Properti,0,25165592,12,0,0
WP184,2024,Jasa,1,32947457,10,0,0
WP185,2024,Jasa,0,42485534,10,0,0
WP186,2024,Manufaktur,0,57175230,11,0,0
WP187,2024,Jasa,0,53204294,10,0,0
WP188,2024,Manufaktur,0,75809251,10,0,0
WP189,2025,Manufaktur,3,11524942,2,2,1
WP190,2025,Jasa,1,64637990,10,0,0
WP191,2025,Properti,8,14519500,1,3,1
WP192,2024,Manufaktur,0,37690583,11,0,0
WP193,2024,Properti,1,42157237,10,0,0
WP194,2025,Manufaktur,1,46974635,10,0,0
WP195,2025,Properti,6,7151280,3,1,1
WP196,2024,Properti,0,65926700,10,0,0
WP197,2025,Jasa,0,89102506,10,0,0
WP198,2024,Perdagangan,8,11117330,4,4,1
WP199,2025,Perdagangan,1,55512669,11,0,0
WP200,2024,Manufaktur,1,85993816,12,0,0
WP101,2024,Perdagangan,0,25000000,12,0,0
WP102,2024,Jasa,3,5000000,9,2,1
WP103,2025,Manufaktur,1,150000000,11,0,0
WP104,2025,Properti,4,75000000,8,3,1
WP105,2024,Perdagangan,0,12000000,12,0,0
WP106,2025,Jasa,0,8000000,12,0,0
WP107,2024,Manufaktur,5,45000000,7,4,1
WP108,2025,Properti,1,90000000,11,0,0
WP109,2024,Perdagangan,2,15000000,10,1,0
WP110,2025,Jasa,6,3000000,6,5,1
WP111,2024,Manufaktur,0,200000000,12,0,0
WP112,2025,Properti,2,55000000,10,2,1
WP113,2024,Perdagangan,1,18000000,11,0,0
WP114,2025,Jasa,0,9500000,12,0,0
WP115,2024,Manufaktur,3,85000000,9,1,1
WP116,2025,Properti,0,120000000,12,0,0
WP117,2024,Perdagangan,4,10000000,8,3,1
WP118,2025,Jasa,1,6000000,11,0,0
WP119,2024,Manufaktur,0,300000000,12,0,0
WP120,2025,Properti,5,40000000,7,4,1
